Lon,Lat,OBJECTID,Ownership,Pole_Num_1,Service,Bulb_Type,Wattage,Lumens,Mast_Arm,Photo_Cont,Luminaire_,Hand_Hold,Extra_Info,Inspection,Inspect_Date,Inspect_Time,Pole_Manuf,Pole_Model,Light_Manu,Light_Mode,POINT_X,POINT_Y,Fixture,Fixture_Model,Bracket,Banner_Arms,Address,Banner_Size,Pole_Number,Pole_Prefix,Pole_Suffix,Pole_Type,Pole_Suff_Seq,Owner_Asset,Light_Presence,created_user,created_date,last_edited_user,last_edited_date
-86.22329845,41.64847504,9777,AEP,J306-0404,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:49:17am,,,, ,175956.2909,2331768.167,,,,,,,J306-0404,,,Wood,10776,-3,,,,,
-86.22229783,41.64676168,9778,AEP,J306-0406,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:36:46am,,,, ,176225.7391,2331142.087,,,,,,,J306-0406,,,Wood,10777,-3,,,,,
-86.22237223,41.64782467,9779,AEP,J306-0415,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,08:52:23am,,,, ,176207.9028,2331529.551,,,,,,,J306-0415,,,Wood,10778,-3,,,,,
-86.22154005,41.64846227,9780,AEP,J306-0419,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:13:21am,,,, ,176436.8376,2331760.417,,,,,,,J306-0419,,,Wood,10779,-3,,,,,
-86.22099998,41.64773562,9781,AEP,J306-0420,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:14:44am,,,, ,176582.7368,2331494.69,,,,,,,J306-0420,,,Wood,10780,-3,,,,,
-86.22100209,41.64622094,9782,AEP,J306-0421,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:17:27am,,,, ,176578.6115,2330942.773,,,,,,,J306-0421,,,Wood,10781,-3,,,,,
-86.22003008,41.65009771,9783,AEP,J306-0441,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:37:58am,,,, ,176853.3418,2332353.685,,,,,,,J306-0441,,,Wood,10782,-3,,,,,
-86.21868798,41.65016369,9784,AEP,J306-0442,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:41:50am,,,, ,177220.2856,2332375.375,,,,,,,J306-0442,,,Wood,10783,-3,,,,,
-86.21986118,41.64773409,9785,AEP,J306-0443,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,09:32:54am,,,, ,176893.9755,2331492.134,,,,,,,J306-0443,,,Wood,10784,-3,,,,,
-86.21879944,41.64771662,9786,AEP,J306-0444,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,KB-TP,,10:04:28am,,,, ,177184.1135,2331483.907,,,,,,,J306-0444,,,Wood,10785,-3,,,,,
